label,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,6.0,7.0,0.040689457,530.6180250214139,2.3209949,4.0,1.8417428e-06,3.54569e-06,-3.0885527
0,3.0,2.0,0.15594724,476.2319776673981,0.32572225,5.0,1.8249264e-07,2.9508266e-07,4.7953534
0,8.0,7.0,-0.003451624,433.4480705116316,4.142274,2.0,1.5679364e-06,5.7060047e-06,-4.5505986
0,4.0,7.0,-0.018628793,440.292330995459,3.0469394,2.0,3.298319e-07,4.122493e-06,-5.029395
0,2.0,7.0,0.12760724,466.4003503589333,0.02772856,2.0,9.105367e-09,2.6752211e-08,12.466879
0,1.0,2.0,0.03428517,566.2173215223089,1.3008157,5.0,4.226219e-07,1.7746231e-06,-3.049545
0,4.0,7.0,0.063011564,444.2405641327265,0.30686668,3.0,1.0295294e-07,3.364468e-07,5.0210214
0,2.0,7.0,0.040510487,476.2319776673981,1.1551913,4.0,1.3442944e-06,1.2830279e-06,-1.709735
0,1.0,7.0,0.0075444262,440.292330995459,0.3703269,6.0,7.7824484e-07,3.9015188e-07,3.1991885
0,4.0,5.0,0.10432532,476.2319776673981,0.9707998,0.0,8.449149e-07,1.6057434e-06,-1.9665298
0,7.0,2.0,0.17517918,476.2319776673981,6.4689627,6.0,5.3214086e-07,4.9070244e-05,-6.031071
0,5.0,7.0,0.022348816,530.6180250214139,0.35924953,2.0,5.0660848e-08,2.2421327e-06,-3.002846
0,3.0,7.0,-0.026202848,440.292330995459,1.7650573,3.0,2.8428417e-07,3.1858685e-06,-4.303286
1,0.0,8.0,0.019812858,530.6180250214139,0.32989597,3.0,3.043877e-07,1.365081e-06,12.157008
0,6.0,7.0,-0.0036631792,433.4480705116316,1.7987944,2.0,2.6760968e-05,4.787454e-06,0.3904689
1,0.0,7.0,-0.019387182,433.4480705116316,1.59443e-07,6.0,5.0316874e-13,8.204669e-21,14.347164
0,10.0,7.0,0.14025365,433.4480705116316,1.4142123,13.0,5.650153e-07,2.9225712e-06,-2.9442942
0,3.0,7.0,0.040863633,566.2173215223089,1.6913005,4.0,1.0207946e-05,2.0681907e-06,-1.7704108
0,9.0,2.0,0.1654999,268.19474382028346,2.9692082,8.0,6.262569e-07,2.0420819e-06,-4.4706435
1,0.0,1.0,0.022037199,530.6180250214139,0.39355704,0.0,2.191029e-07,4.5672243e-07,6.969297
0,5.0,7.0,0.018901017,566.2173215223089,0.3972925,3.0,4.4504894e-05,5.053488e-07,8.474517
